"","X","artist_name","album_name","song_name","line"
"11",11,"taylor Swift","Midnights","Sweet Nothing","I spy with my little tired eyeTiny as a fireflyA pebble that we picked up last JulyDown deep inside your pocketWe almost forgot itDoes it ever miss Wicklow sometimes?Ooh, oohThey said the end is comin'Everyone’s up to somethin'I find myself runnin' home to your sweet nothingsOutside, they’re push and shovin'You're in the kitchen hummin'All that you ever wanted from me was sweet nothin'On the way homeI wrote a poemYou say, ""What a mind""This happens all the timeOoh, ooh'Causе they said the end is comin'Evеryone's up to somethin’I find myself runnin’ home to your sweet nothingsOutside, they're push and shovin’You're in the kitchen hummin'All that you ever wanted from me was nothin'Industry disruptors and soul deconstructorsAnd smooth-talking hucksters out glad-handing each otherAnd the voices that implore, ""You should be doing more""To you, I can admit that I’m just too soft for all of itOohThey said the end is comin'Everyone's up to somethin'I find myself runnin' home to your sweet nothingsOutside, they're push and shovin'You're in the kitchen hummin'All that you ever wanted from me was sweet nothin'They said the end is comin' (They said the end is comin')Everyone's up to somethin' (Everyone's up to somethin')I find myself runnin' home to your sweet nothingsOutside, they're push and shovin' (Outside, they're push and shovin')You're in the kitchen hummin' (You're in the kitchen hummin')All that you ever wanted from me was sweet nothin'"
"12",12,"taylor Swift","Midnights","Vigilante Shit","Draw the cat eye sharp enough to kill a manYou did some bad things, but I'm the worst of themSometimes I wonder which one'll be your last lieThey say looks can kill and I might tryI don't dress for womenI don't dress for menLately, I've been dressin' for revengeI don't start shit, but I can tell you how it endsDon't get sad, get evenSo on the weekendsI don't dress for friendsLately, I've been dressin' for revengeShe needed cold, hard proof, so I gave her someShe had the envelope, where you think she got it from?Now she gets the house, gets the kids, gets the pridePicture me thick as thieves with your ex-wifeAnd she looks so prettyDrivin' in your BenzLately, she's been dressin' for revengeShe don't start shit, but she can tell you how it endsDon't get sad, get evenSo on the weekendsShe don't dress for friendsLately, she's been dressing for revengeLadies always rise aboveLadies know what people wantSomeone sweet and kind and funThe lady simply had enoughWhile he was doin' lines and crossin' all of mineSomeone told his white-collar crimes to the FBIAnd I don't dress for villainsOr for innocentsI'm on my vigilante shit againI don't start shit, but I can tell you how it endsDon't get sad, get evenSo on the weekendsI don't dress for friendsLately, I've been dressin' for revenge"
"13",13,"taylor Swift","Midnights","You’re On Your Own, Kid","Summer went away, still, the yearning staysI play it cool with the best of themI wait patiently, he's gonna notice meIt's okay, we're the best of friendsAnywayI hear it in your voice, you're smoking with your boysI touch my phone as if it's your faceI didn't choose this town, I dream of getting outThere's just one who could make me stayAll my daysFrom sprinkler splashes to fireplace ashesI waited ages to see you thereI search the party of better bodiesJust to learn that you never caredYou're on your own, kidYou always have beenI see the great escape, so long, Daisy MayI picked the petals, he loves me notSomething different bloomed, writing in my roomI play my songs in the parking lotI'll run awayFrom sprinkler splashes to fireplace ashesI called a taxi to take me thereI search the party of better bodiesJust to learn that my dreams aren't rareYou're on your own, kidYou always have beenFrom sprinkler splashes to fireplace ashesI gave my blood, sweat, and tears for thisI hosted parties and starved my bodyLike I'd be saved by a perfect kissThe jokes weren't funny, I took the moneyMy friends from home don't know what to sayI looked around in a blood-soaked gownAnd I saw something they can't take away'Cause there were pages turned with the bridges burnedEverything you lose is a step you takeSo, make the friendship bracelets, take the moment and taste itYou've got no reason to be afraidYou're on your own, kidYeah, you can face thisYou're on your own, kidYou always have been"
"14",1,"linkin park","Meteora","Breaking the Habit","Memories consume, like opening the woundI'm picking me apart againYou all assume I'm safe here in my roomUnless I try to start againI don't want to be the one the battles always choose'Cause inside, I realize that I'm the one confusedI don't know what's worth fighting for or why I have to screamI don't know why I instigate and say what I don't meanI don't know how I got this way, I know it's not alrightSo, I'm breaking the habitI'm breaking the habit tonightClutching my cure, I tightly lock the doorI try to catch my breath againI hurt much more than anytime beforeI had no options left againI don't want to be the one the battles always choose'Cause inside, I realize that I'm the one confusedI don't know what's worth fighting for or why I have to screamI don't know why I instigate and say what I don't meanI don't know how I got this way, I'll never be alrightSo, I'm breaking the habitI'm breaking the habit tonightI'll paint it on the walls'Cause I'm the one at faultI'll never fight againAnd this is how it endsI don't know what's worth fighting for or why I have to screamBut now I have some clarity to show you what I meanI don't know how I got this way, I'll never be alrightSo, I'm breaking the habitI'm breaking the habitI'm breaking the habit tonight"
"15",2,"linkin park","Meteora","Easier to Run","It's easier to runReplacing this pain with something numbIt's so much easier to goThan face all this pain here all aloneSomething has been taken from deep inside of meA secret I've kept locked away, no one can ever seeWounds so deep they never show, they never go awayLike moving pictures in my head, for years and years they've playedIf I could change, I would, take back the pain, I wouldRetrace every wrong move that I made, I wouldIf I could stand up and take the blame, I wouldIf I could take all the shame to the grave, I wouldIf I could change, I would, take back the pain, I wouldRetrace every wrong move that I made, I wouldIf I could stand up and take the blame, I wouldI would take all my shame to the graveIt's easier to runReplacing this pain with something numbIt's so much easier to goThan face all this pain here all aloneSometimes I remember the darkness of my pastBringing back these memories I wish I didn't haveSometimes I think of letting go and never looking backAnd never moving forward so there'd never be a pastIf I could change, I would, take back the pain, I wouldRetrace every wrong move that I made, I wouldIf I could stand up and take the blame, I wouldIf I could take all the shame to the grave, I wouldIf I could change, I would, take back the pain, I wouldRetrace every wrong move that I made, I wouldIf I could stand up and take the blame, I wouldI would take all my shame to the graveJust washing it asideAll of the helplessness insidePretending I don't feel misplacedIs so much simpler than changeIt's easier to runReplacing this pain with something numbIt's so much easier to goThan face all this pain here all aloneIt's easier to runIf I could change, I would, take back the pain, I wouldRetrace every wrong move that I madeIt's easier to goIf I could change, I would, take back the pain, I wouldRetrace every wrong move that I made, I wouldIf I could stand up and take the blame, I wouldI would take all my shame to the grave"
"16",3,"linkin park","Meteora","Faint","I am a little bit of lonelinessA little bit of disregardHandful of complaints, but I can't help the factThat everyone can see these scarsI am what I want you to wantWhat I want you to feelBut it's like no matter what I do, I can't convince youTo just believe this is realSo I let go, watchin' youTurn your back like you always doFace away and pretend that I'm notBut I'll be here, 'cause you're all that I've gotI can't feel the way I did beforeDon't turn your back on me, I won't be ignoredTime won't heal this damage anymoreDon't turn your back on me, I won't be ignoredI am a little bit insecureA little unconfident'Cause you don't understand, I do what I canBut sometimes, I don't make senseI am what you never want to sayBut I've never had a doubtIt's like no matter what I do, I can't convince youFor once, just to hear me outSo I let go, watchin' youTurn your back like you always doFace away and pretend that I'm notBut I'll be here, 'cause you're all that I've gotI can't feel the way I did beforeDon't turn your back on me, I won't be ignoredTime won't heal this damage anymoreDon't turn your back on me, I won't be ignoredNo, hear me out nowYou're gonna listen to me, like it or notRight now, hear me out nowYou're gonna listen to me, like it or notRight nowI can't feel the way I did beforeDon't turn your back on me, I won't be ignoredI can't feel the way I did beforeDon't turn your back on me, I won't be ignoredTime won't heal this damage anymoreDon't turn your back on me, I won't be ignoredI can't feelDon't turn your back on me, I won't be ignoredTime won't healDon't turn your back on me, I won't be ignored"
"17",4,"linkin park","Meteora","Figure.09","Nothin' ever stops all these thoughts and the pain attached to themSometimes I wonder why this is happenin'It's like nothin' I could do will distract me whenI think of how I shot myself in the back again'Cause from the infinite words I could sayI put all the pain you gave to me on displayBut didn't realize instead of settin' it freeI took what I hated and made it a part of meNever goes awayNever goes awayAnd now you've become a part of me (You'll always be right here)You've become a part of me (You'll always be my fear)I can't separate myself from what I've doneGiving up a part of me, I've let myself become youHearin' your name, the memories come back againI remember when it started happenin'I'd see you in every thought I had and thenThe thoughts slowly found words attached to themAnd I knew as they escaped awayI was committin' myself to 'em and every dayI regret sayin' those things 'cause now I see that ITook what I hated and made it a part of meNever goes awayNever goes awayAnd now you've become a part of me (You'll always be right here)You've become a part of me (You'll always be my fear)I can't separate myself from what I've doneGiving up a part of me, I've let myself become youNever goes awayNever goes awayIt never goes awayIt never goes away (Get away from me)Gimme my space back, you gotta just (Go)Everything comes down to memories of (You)I've kept it in, but now I'm lettin' you (Know)I've let you go, so get away from meGimme my space back, you gotta just (Go)Everything comes down to memories of (You)I've kept it in, but now I'm lettin' you (Know)I've let you goAnd now you've become a part of me (You'll always be right here)You've become a part of me (You'll always be my fear)I can't separate myself from what I've doneGiving up a part of me, I've let myself become youI've let myself become youI've let myself become lost inside these thoughts of youGiving up a part of me, I've let myself become you"
"18",5,"linkin park","Meteora","From the Inside","I don't know who to trust, no surpriseEveryone feels so far away from meHeavy thoughts sift through dust and the liesTryin' not to break, but I'm so tired of this deceitEvery time I try to make myself get back up on my feet(I) All I ever think about is this, all the tiring time betweenAnd how trying to put my trust in you just takes so much out of meTake everything from the insideAnd throw it all away'Cause I swear, for the last timeI won't trust myself with youTension is building inside, steadilyEveryone feels so far away from meHeavy thoughts forcing their way out of meTryin' not to break, but I'm so tired of this deceitEvery time I try to make myself get back up on my feet(I) All I ever think about is this, all the tiring time betweenAnd how trying to put my trust in you just takes so much out of meTake everything from the insideAnd throw it all away'Cause I swear, for the last timeI won't trust myself with youI won't waste myself on you, you, youWaste myself on you, you, youI'll take everything from the insideAnd throw it all away'Cause I swear, for the last timeI won't trust myself with youEverything from the insideAnd just throw it all away'Cause I swear, for the last timeI won't trust myself with you, you, you"
"19",6,"linkin park","Meteora","Hit the Floor","There are just too many times that people have tried to look inside of meWondering what I think of you and I protect you out of courtesyToo many times that I've held on when I needed to push awayAfraid to say what was on my mind, afraid to say what I need to sayToo many things that you've said about me when I'm not aroundYou think havin' the upper hand means you gotta keep puttin' me downBut I've had too many stand-offs with you, it's about as much as I can standSo I'm waitin' until the upper hand is mineOne minute, you're on topThe next you're not, watch it dropMakin' your heart stopJust before you hit the floorOne minute, you're on topThe next you're not, missed your shotMakin' your heart stopYou think you won, and then it's all goneSo many people like me put so much trust in all your liesSo concerned with what you think to just say what we feel insideSo many people like me walk on eggshells all day longAll I know is that all I want is to feel like I'm not stepped onThere are so many things you say that make me feel you crossed the lineWhat goes up will surely fall, and I'm countin' down the time'Cause I've had so many stand-offs with you, it's about as much as I can standSo I'm waitin' until the upper hand is mineOne minute, you're on topThe next you're not, watch it dropMakin' your heart stopJust before you hit the floorOne minute, you're on topThe next you're not, missed your shotMakin' your heart stopYou think you wonAnd then it's all goneAnd then it's all goneAnd then it's all goneAnd then it's all goneNow it's all goneI know I'll never trust a single thing you sayYou knew your lies would divide us, but you lied anywayAnd all the lies have got you floating up above us allBut what goes up has got to fallOne minute, you're on topThe next you're not, watch it dropMakin' your heart stopJust before you hit the floorOne minute, you're on topThe next you're not, missed your shotMakin' your heart stopYou think you wonAnd then it's all goneAnd then it's all goneAnd then it's all goneAnd then it's all goneNow it's all gone"
"20",7,"linkin park","Meteora","Lying from You","When I pretend everything is what I want it to beI look exactly like what you had always wanted to seeWhen I pretend, I can forget about the criminal I amStealin' second after second just 'cause I know I can, butI can't pretend this is the way it'll stayI'm just trying to bend the truthI can't pretend I'm who you want me to beSo I'm lying my way fromYou(No, no turning back now)I wanna be pushed aside, so let me go(No, no turning back now)Let me take back my life, I'd rather be all alone(No turning back now)Anywhere on my own, 'cause I can see(No, no turning back now)The very worst part of you is meI remember what they taught to meRemember condescending talk of who I ought to beRemember listenin' to all of that and this againSo I pretended up a person who was fittin' inAnd now, you think this person really is meAnd I'm trying to bend the truthBut the more I push, the more I'm pullin' away'Cause I'm lying my way fromYou(No, no turning back now)I wanna be pushed aside, so let me go(No, no turning back now)Let me take back my life, I'd rather be all alone(No turning back now)Anywhere on my own, 'cause I can see(No, no turning back now)The very worst part of youThe very worst part of you is meThis isn't what I wanted to beI never thought that what I said would have you running from meLike this, this isn't what I wanted to beI never thought that what I said would have you running from meLike this (This) this isn't what I wanted to beI never thought that what I said would have you running from meLike this (This) this isn't what I wanted to beI never thought that what I said would have you running from meLike thisYou(No turning back now)I wanna be pushed aside, so let me go(No, no turning back now)Let me take back my life, I'd rather be all alone(No turning back now)Anywhere on my own, 'cause I can see(No, no turning back now)The very worst part of youThe very worst part of you is me"
"21",8,"linkin park","Meteora","Nobody’s Listening","Com-com-com-com-comin' at youCom—, at you, com-comin' at youYo, peep the style and the kids checkin' for itThe number one question is ""how could you ignore it?""We drop right back in the cut over basement tracksWith raps that got you backin' this up like ""rewind that""We're just rollin' with the rhythmRise from the ashes of stylistic divisionWith these non-stop lyrics of life livin'Not to be forgotten but still unforgivenBut in the meantime, there are thoseWho wanna talk this and that, so I supposeThat it gets to a point where feelings gotta get hurtAnd get dirty with the people spreadin' the dirt, it ​goesTry to give you warningBut everyone ignores meTold you everything loud and clearBut nobody's listeningCall to you so clearlyBut you don't want to hear meTold you everything loud and clearBut nobody's listeningI got a heart full of pain, head full of stressHandful of anger held in my chestAnd everything left's a waste of timeI hate my rhymes but hate everyone else's moreI'm ridin' on the back of this pressureGuessin' that it's better I can't keep myself togetherBecause all of this stress gave me somethin' to write onThe pain gave me somethin' I could set my sights onYou never forget the blood, sweat, and tearsThe uphill struggle over years, the fearAnd trash-talkin' and the people it was toAnd the people that started it, just like youTry to give you warningBut everyone ignores meTold you everything loud and clearBut nobody's listeningCall to you so clearlyBut you don't want to hear meTold you everything loud and clearBut nobody's listeningI got a heart full of pain, head full of stressHandful of anger held in my chestUphill struggle, blood, sweat, and tearsNothin' to gain, everything to fearHeart full of pain, head full of stressHandful of anger held in my chestUphill struggle, blood, sweat, and tearsNothin' to gain, everything to fearHeart full of painTry to give you warningBut everyone ignores meTold you everything loud and clearBut nobody's listeningCall to you so clearlyBut you don't want to hear meTold you everything loud and clearBut nobody's listeningI got a heart full of pain, head full of stressNobody's listeningHandful of anger held in my chestNobody's listeningUphill struggle, blood, sweat, and tearsNobody's listeningNothin' to gain, everything to fearNobody's listeningCom-com-com-com-comin' at youCom-comin', comin', comin', comin' at youCom-comin', come-com-comin' atCom-com-com-com-comin' at you from every side"
